VI,EN
Bạn có nghĩ rằng sinh viên được cho đủ thời gian để ăn trưa?,do you think students are given enough time to eat lunch ?
Bạn hứa sẽ không thô lỗ với tôi nữa.,you promised not to be rude to me anymore .
Bạn có phiền nếu tôi cởi áo len của tôi không?,do you mind if i take off my sweater ?
Nhật Bản đóng một vai trò quan trọng trong nền kinh tế thế giới.,japan plays a key role in the world economy .
Tôi không thể không nghĩ rằng cha tôi vẫn còn sống.,i cannot help thinking my father is still alive .
Bạn có tin rằng số phận của chúng ta được kiểm soát bởi các ngôi sao?,do you believe our destinies are controlled by the stars ?
Các nhóm hoạt động cho môi trường và câu hỏi về an toàn thực phẩm về sự an toàn của sản phẩm.,activist groups for the environment and food safety question the product s safety .
Tôi có thể đi đâu để mua sách nghệ thuật và danh mục?,where can i go to buy art books and catalogs ?
Cô ấy đồng ý với anh ấy rằng tôi nên đến cuộc họp.,she agreed with him that i should go to the meeting .
Khán giả khó có thể chờ đợi buổi hòa nhạc bắt đầu.,the audience could hardly wait for the concert to begin .
Các diễn viên và chính trị gia không bao giờ bỏ qua một bức ảnh op.,actors and politicians never pass up a photo op .
Chúng tôi dự định đi xa nhất có thể.,we plan to go as far as we can .
Tôi ước họ sẽ trung thực và thừa nhận họ không biết điều đó sẽ xảy ra.,i wish they would be honest and admit they do not know that is going to happen .
Cả ba anh em của tôi hiện đang ở đâu đó ở Boston.,all three of my brothers are now somewhere in boston .
Tôi nghĩ rằng đã đến lúc tôi từ bỏ kế hoạch đó.,i think it is time for me to abandon that plan .
Tôi sẽ không muốn bạn có ấn tượng sai về tôi.,i would not want you to get the wrong impression about me .
Không dễ để đến bằng dưa hấu vào thời điểm này trong năm.,it is not easy to come by watermelons at this time of year .
Tất cả các thành viên đã không có mặt tại cuộc họp ngày hôm qua.,all the members were not present at the meeting yesterday .
Tòa án đã lên án người đàn ông đến chết vì tiêm chết người.,the court condemned the man to death by lethal injection .
Vấn đề đầu tiên mà chúng ta phải đối đầu là chủ nghĩa cực đoan bạo lực dưới mọi hình thức của nó.,the first issue that we have to confront is violent extremism in all of its forms .
Vẫn còn sớm .Tất cả chúng ta nên thư giãn một chút.,it is still early . we should all just chill for a bit .
"Tôi muốn giúp đỡ, nhưng tôi không thể làm gì cả.","i wanted to help , but i could not do anything ."
Tôi đã làm mọi thứ có thể để giúp Tom tìm việc làm.,i did everything i could to help tom find a job .
Tôi không thích nó khi bạn mang công việc về nhà.,i do not like it when you bring work home .
Tôi yêu cầu mẹ tôi thức dậy lúc bốn tuổi.,i asked my mother to wake me up at four .
Chúng tôi sẽ sử dụng ngôi nhà làm tài sản thế chấp để chúng tôi có thể vay một số tiền.,we will use the house as collateral so we can borrow some money .
Tôi không đủ khả năng để mua sắm tại một cửa hàng đắt tiền như vậy.,i cannot afford to shop at such an expensive store .
Giữ một mắt trên vali của tôi trong khi tôi mua vé.,keep an eye on my suitcase while i buy the tickets .
"Tôi xin lỗi đã làm phiền bạn, nhưng có một cuộc gọi điện thoại cho bạn.","i am sorry to disturb you , but there s a phone call for you ."
"Trước khi chúng tôi bắt đầu, một số nhận xét sơ bộ là theo thứ tự.","before we begin , a number of preliminary remarks are in order ."
Tôi đã đến Ý lần thứ hai.,i went to italy for the second time in .
"Tôi nghe thấy một cửa hàng kẹo bông vừa mở.Hãy đi, anh chàng.","i heard a cotton candy shop has just opened . let s go , dudes ."
Tôi đã mua cuốn tiểu thuyết mà bộ phim dựa trên.,i bought the novel on which the film is based .
"Tôi đề nghị chúng ta chỉ ăn một chút bây giờ, và sau đó đi ra ngoài sau.","i suggest we eat just a little now , and then go out later ."
"Nếu bạn muốn một cái gì đó được thực hiện đúng, đôi khi bạn chỉ cần tự làm điều đó.","if you want something done right , sometimes you have just gotta do it yourself ."
Hiện tại tôi không muốn từ chức công việc của mình.,i do not want to resign my job at present .
Tôi hy vọng tôi đã cho bạn đủ tiền để mua mọi thứ bạn cần.,i hope i gave you enough money to buy everything you needed .
"Cuối cùng, tôi đã quyết định và mua trò chơi video mới.","finally , i made up my mind and bought the new video game ."
Chúng tôi có một sinh viên mới tham gia lớp học của chúng tôi ngày hôm nay.,we have a new student joining our class today .
Nó sẽ làm bạn tốt để có một kỳ nghỉ.,it will do you good to have a holiday .
Tôi đảm bảo với bạn điều này là về nhiều hơn tiền.,i assure you this is about much more than money .
Mọi người đều phạm sai lầm.Đó là lý do tại sao họ đặt Erasers lên bút chì.,everybody makes mistakes . that is why they put erasers on pencils .
"Trong hai hoặc ba năm này, anh ta đã có được một lượng lớn tài sản.","in these two or three years , he acquired a large amount of wealth ."
Tôi đã mất một trong những chàng trai của tôi trong cuộc chiến.,i lost one of my boys in the war .
Thủ tướng rơi vào sông Danube và chết đuối.,the prime minister fell into the danube and drowned .
Tôi không làm điều đó thường xuyên như tôi muốn.,i do not do that as often as i would like to .
Hình ảnh của tôi ở mọi đồn cảnh sát trong nước.,my picture s in every police station in the country .
Tôi nghĩ rằng trời sẽ sớm mưa.Tôi cũng vậy .,i think it is going to rain soon . me too .
Anh sớm trở nên mệt mỏi với một điều bất kể anh thích nó bắt đầu đến mức nào.,he soon grows tired of a thing regardless of how much he liked it to begin with .
"Tôi chạy nhanh nhất có thể, nhưng tôi đã bỏ lỡ xe buýt.","i ran as fast as i could , but i missed the bus ."
Tôi không biết tôi sẽ làm gì với bạn.,i do not know what i am going to do with you .
Họ không biết họ nên làm gì với tiền.,they do not know what they should do with the money .
"Sử dụng đèn pin, cảnh sát báo hiệu chiếc xe dừng lại.","using a flashlight , the policeman signaled the car to stop ."
Cô lướt qua sổ đăng ký để xem tên của cô có ở trong đó không.,she skimmed through the register to see if her name was in it .
Chúng tôi không thể rời Tom ở đây.Anh ta sẽ không tự mình sống sót.,we cannot leave tom here . he will not survive on his own .
Kho báu được cho là nằm ẩn ở đâu đó trên núi.,the treasure is believed to lie hidden somewhere in the mountain .
Thật dễ dàng cho tôi để trả lời câu hỏi.,it is easy for me to answer the question .
Đây là cây bút chì mà cô ấy đã từng viết nó.,this is the pencil that she used to write it .
Để S đỗ xe ở đây và đi bộ phần còn lại của con đường.,let s park the car here and walk the rest of the way .
nhanh lên .Tàu rời đi trong mười phút.Chúng tôi không muốn bỏ lỡ nó.,hurry up . the train leaves in ten minutes . we do not want to miss it .
"Phải mất hơn một tháng để vượt qua cảm lạnh của tôi, nhưng bây giờ tôi vẫn ổn.","it took more than a month to get over my cold , but i am ok now ."
"Tôi có thể đọc tiếng Anh, nhưng tôi không thể nói nó.","i can read english , but i cannot speak it ."
"Một số hoa hồng trong vườn của tôi có màu trắng, và những người khác có màu đỏ.","some of the roses in my garden are white , and the others are red ."
Tôi nên đi hay bạn muốn tôi ở lại?,should i go or would you like me to stay ?
Cô vẫy cả hai tay để anh có thể tìm thấy cô.,she waved both her hands so that he could find her .
"Hợp đồng nằm trong túi, vì vậy hãy đi ra ngoài và ăn mừng.","the contract is in the bag , so let s go out and celebrate ."
Anh trai tôi bị đe dọa bởi một người nào đó vẫy súng.,my brother was threatened by someone waving a gun .
Anh chàng trong ảnh là ai?tôi không biết anh ấy là ai .,who is the guy in the picture ? i do not know who he is .
Anh ta bị cướp tiền trên đường phố.,he was robbed of his money on the street .
"Khi nào bạn sẽ rửa xe?Thỉnh thoảng tuần này, tôi nghĩ.","when will you wash your car ? sometime this week , i think ."
"Nếu tôi là bạn, tôi sẽ tránh xa điều đó.","if i were you , i would stay away from that ."
Không ai sẽ nói với Tom và Mary rằng họ không thể làm điều đó.,nobody is going to tell tom and mary that they cannot do that .
Tom đã tự mình tiến hành một cách duyên dáng và trang nghiêm trong khi ra tòa.,tom conducted himself in a gracious and dignified manner during his court appearance .
Bạn nên đến nha sĩ để rút răng ra.,you had better go to the dentist to have that tooth pulled out .
Có vẻ như anh ta tin những gì anh ta nói là đúng.,it seems that he believes what he said is right .
"Thay vì cắt giảm thuốc lá, tại sao bạn không từ bỏ chúng?","instead of cutting down on cigarettes , why do not you just give them up ?"
Tom rất đau lòng khi Mary nói với anh rằng cô sẽ rời xa anh.,tom was heartbroken when mary told him she was leaving him .
Tôi cần biết mọi thứ mà bạn biết về Tom.,i need to know everything that you know about tom .
Tôi đã không cảm thấy điều này hạnh phúc trong một thời gian dài.,i have not felt this happy in a long time .
Tom nổi giận với Mary vì cô đến muộn.,tom got mad at mary because she was late .
Cô ấy đánh vào đầu tôi bằng một cái búa.,she hit me on the head with a hammer .
Chúng tôi dường như tiếp tục vật lộn với cùng một vấn đề cũ.,we seem to keep grappling with the same old problem .
"Tôi nhớ khuôn mặt của bạn, nhưng tôi không nhớ tên của bạn.","i remember your face , but i do not remember your name ."
"Những chú hổ thua trò chơi, đó là một bất ngờ đối với chúng tôi.","the tigers lost the game , which was a surprise to us ."
Vợ tôi đang tắm cho em bé cho người bạn thân nhất của cô ấy.,my wife is throwing a baby shower for her best friend .
Tôi ước tôi có thể sống trong một ngôi nhà như thế này.,i wish i could live in a house like this .
Chúng ta phải ngăn chặn một cuộc chiến bằng tất cả các phương tiện có thể.,we must prevent a war by all possible means .
Quyết định liệu tôi có nên thấy cô ấy là của tôi một mình.,the decision whether i should see her is mine alone .
Tôi gần như quên nói với bạn những tin tức lớn.,i almost forgot to tell you the big news .
Việc giao hàng đã bị trì hoãn do bão.,the delivery of the goods was delayed due to the storm .
"Lựu đạn đã thổi lên trước khi kẻ khủng bố có thể ném nó, và cánh tay của anh ta bị thổi bay!","the grenade blew up before the terrorist could throw it , and his arm was blown off !"
Cô không thể thuyết phục anh viết một bài hát cho cô.,she could not convince him to write a song for her .
Cô vẫy tay cho đến khi tàu khuất khỏi tầm mắt.,she waved her hand until the train was out of sight .
Tom nói với Mary rằng cô ấy đã trang trí Giáng sinh quá sớm.,tom told mary she put up her christmas decorations too early .
Tom không muốn kết hôn cho đến khi anh ấy ở tuổi ba mươi.,tom does not want to get married until he is in his thirties .
"Chú tôi, sống ở Osaka, đã đến thăm chúng tôi ngày hôm qua.","my uncle , who lives in osaka , visited us yesterday ."
Cô ấy có một thói quen xấu là nói chuyện lâu dài trên điện thoại.,she has a bad habit of talking a long time on the phone .
Tôi nghĩ rằng bạn và tôi có lẽ nên có thể hòa thuận tốt hơn.,i think that you and i should probably be able to get along better .
Rắc rối với bạn là bạn nói quá nhiều.,the trouble with you is that you talk too much .
"Anh ta hầu như không có tiền, nhưng anh ta nhận được.","he has hardly any money , but he gets by ."
Tôi chưa bao giờ nhìn thấy một con hươu cao cổ cho đến khi tôi đến thăm sở thú.,i had never seen a giraffe till i visited the zoo .
Tôi có nên đợi bạn vào ngày mai trước nhà hát opera không?,should i wait for you tomorrow in front of the opera house ?
Tom không được phép nói với Mary tất cả những gì anh biết.,tom was not allowed to tell mary everything he knew .
Tôi nắm lấy tay em gái tôi và bắt đầu chạy.,i grabbed my little sister s hand and started running .
Tom dừng lại ở nhà thuốc để mua một số thuốc.,tom stopped by the drugstore to buy some medicine .
Tôi muốn hỏi bạn về một sinh viên của bạn.,i would like to ask you about a student of yours .
"Ngay bây giờ, chúng tôi có quả việt quất, quả mâm xôi, anh đào, dâu tây, đào và mật hoa.","right now , we have blueberries , blackberries , cherries , strawberries , peaches and nectarines ."
Mưa ngăn chúng tôi hoàn thành trò chơi quần vợt của chúng tôi.,the rain prevented us from finishing our game of tennis .
Tôi cảm thấy như mọi người đang nói về tôi sau lưng.,i feel like everyone is talking about me behind my back .
"Bên ngoài trời rất nóng, bạn có thể chiên một quả trứng.","it is so hot outside , you could fry an egg ."
Hãy nhớ tắt đèn trước khi đi ngủ.,please remember to turn off the light before going to bed .
tôi không thể làm nó một mình .Bạn phải giúp tôi.,i cannot do it alone . you have to help me .
Tôi không thích các môn thể thao như quần vợt và golf.,i do not like such sports as tennis and golf .
"Khi tôi bằng tuổi của bạn, tôi đi bộ đến trường mỗi ngày.","when i was your age , i walked to school every day ."
Phố chính đã bị chặn cả buổi sáng cho cuộc diễu hành.,main street was blocked off all morning for the parade .
"Chiếc xe của cô ấy có thể dễ chịu hơn khi lái xe, nhưng nó cũng tốn nhiều tiền hơn cho việc bảo trì.","her car might be more pleasant to drive , but it also costs her more for maintenance ."
Hiệu trưởng bắt tay với mỗi sinh viên tốt nghiệp.,the principal shook hands with each of the graduates .
"Tôi không thể có được ai đi cùng tôi, và vì vậy tôi đã tự mình đi một mình.","i could not get anybody to go with me , and so i went by myself ."
"Sau khi yêu cầu chìa khóa của tôi ở quầy lễ tân, tôi đi thang máy xuống sàn nhà.","after asking for my key at the front desk , i took the elevator to my floor ."
Ông làm việc cho một tờ báo lớn với một lưu thông rất lớn.,he works for a big newspaper with a very large circulation .
Tôi chưa thu thập đủ tài liệu để viết một cuốn sách.,i have not yet collected sufficient materials to write a book .
Tôi nghĩ rằng tôi sẽ đi nghỉ trong tuần này.,i think i will take a vacation this week .
Bạn có muốn dành phần còn lại của cuộc đời mình một mình?,do you want to spend the rest of your life alone ?
Sự sụp đổ của bức tường Berlin thực sự là một dịp trọng đại.,the falling of the berlin wall was truly a momentous occasion .
"Người phục vụ đã cho tôi cà phê, mặc dù tôi sẽ gọi trà.","the waitress gave me coffee , even though i would ordered tea ."
"Nếu tôi tạo một ví dụ, bạn sẽ sửa nó cho tôi chứ?","if i create an example , will you correct it for me ?"
Tôi thực sự cảm thấy như chúng ta đang ở trên cùng một bước sóng.,i really feel like we are on the same wavelength .
"Nếu vì một số lý do sẽ xảy ra, bạn sẽ làm gì?","if for some reason that should happen , what would you do ?"
Tom là kiểu người luôn phải có từ cuối cùng.,tom is the kind of person who always has to have the last word .
"Khi tôi ho hai lần, đó là gợi ý của bạn vào phòng.","when i cough twice , that is your cue to come into the room ."
Tôi chỉ không muốn may mắn của chúng tôi hết.,i just do not want our luck to run out .
Tôi cần một số hộp các tông để đóng gói tài sản của tôi.,i need some cardboard boxes to pack my possessions .
"Nó có vẻ như là một ý tưởng tốt cho bạn, nhưng tôi nghĩ nó hơi nguy hiểm.","it may seem like a good idea to you , but i think it is a little dangerous ."
Mỗi đứa trẻ học đã chơi móc nối lúc này hay lúc khác.,every school kid has played hooky at one time or another .
"Hồ Titicaca, hồ lớn nhất ở Nam Mỹ, là ở Peru.","lake titicaca , the biggest lake in south america , is in peru ."
"Một trong những cặp song sinh còn sống, nhưng người kia đã chết.","one of the twins is alive , but the other is dead ."
Bạn có nghĩ rằng ao bị đóng băng đủ cứng để trượt băng?,do you think the pond is frozen hard enough to skate on ?
"Chúng tôi đang tin tưởng vào bạn để đánh thức chúng tôi kịp thời, vì vậy đừng ngủ.","we are counting on you to wake us up in time , so do not fall asleep ."
Gần đây bạn đã trải qua sự đánh trống ngực hoặc cảm thấy như trái tim của bạn đang chạy đua?,have you recently experienced palpitations or felt like your heart was racing ?
Chúng tôi không thể bắt đầu cuộc họp cho đến khi chúng tôi có một đại biểu.,we cannot begin the meeting until we have a quorum .
"Ban đầu, con người gần giống như các động vật khác.","in the beginning , man was almost the same as the other animals ."
"Tôi có thể đã làm rất tốt trong bài kiểm tra ngày hôm qua, nhưng tôi chưa biết kết quả.","i might have done well on yesterday s test , but i do not know the results yet ."
Tôi nghĩ rằng tôi cần một thức uống cứng.làm cho hai điều đó.,i think i need a stiff drink . make that two .
Có lẽ chúng ta nên xem xét những gì sẽ xảy ra nếu chúng ta không làm điều này.,perhaps we should consider what would happen if we do not do this .
Gần như lần duy nhất một người đàn ông béo mất bình tĩnh là khi anh ta bị tước thức ăn.,almost the only time a fat man loses his temper is when he has been deprived of his food .
Tôi có một cuộc hẹn mà tôi không muốn bị trễ.,i have an appointment i do not want to be late for .
Mỗi chiếc xe đi qua ném lên một đám mây bụi.,each passing car threw up a cloud of dust .
Tôi nghĩ bạn đã nói rằng bạn không thích làm điều đó.,i thought you said you did not like to do that .
Tôi đã bắt được một con cá lớn ngày hôm qua với đôi tay trần của tôi.,i caught a big fish yesterday with my bare hands .
Bạn có thể cho tôi biết bạn đang cố gắng làm gì?,can you tell me what you are trying to do ?
Tôi có thể lấy bao nhiêu cuốn sách cùng một lúc?,how many books can i take out at one time ?
Anh ta đánh bạc trong cuộc chiến sắp kết thúc.,he gambled on the war coming to an early end .
Kết hôn với bạn là sai lầm lớn nhất trong cuộc đời tôi.,marrying you was the biggest mistake of my life .
Tôi đã cho rằng bạn đã đứng về phía chúng tôi.,i took it for granted that you were on our side .
Tom cao hơn nhiều so với tôi khi chúng tôi học tiểu học.,tom was much taller than i was when we were in elementary school .
Đó là một thời gian dài kể từ khi tôi thấy gia đình mình.,it is been a long time since i have seen my family .
Những đứa trẻ rất ồn ào đến nỗi tôi không thể học.,the children were so noisy that i could not study .
"Khi tôi nhìn thấy Tom ngày hôm qua, anh ấy đã đội một chiếc mũ cao bồi.","when i saw tom yesterday , he was wearing a cowboy hat ."
Tom là người duy nhất trong văn phòng có thể nói tiếng Pháp.,tom is the only person in the office who can speak french .
Tôi không nghĩ bất kỳ ai trong chúng ta đều hài lòng về những gì đã xảy ra.,i do not think any of us are happy about what happened .
Tôi không thích ăn kem vào mùa đông.,i do not like eating ice cream in the winter .
"Tôi có thể nói với bạn rằng tôi yêu bạn, nhưng tôi sẽ nói dối.","i could tell you that i love you , but i would be lying ."
Một nhóm các nhà khoa học đã ở trên tàu với họ.,a party of scientists were on board with them .
Chúng tôi sẽ tiếp tục làm điều này cho đến khi ai đó nói với chúng tôi rằng chúng tôi không thể.,we are going to keep doing this until someone tells us that we cannot .
Tôi xé một cái lỗ trong quần jean khi tôi ngã khỏi xe đạp.,i tore a hole in my jeans when i fell off my bike .
Bạn không nghĩ rằng Tom trông giống như một ông già?,do not you think that tom looks like an old man ?
Tôi thích các bộ phim Terminator vì các hiệu ứng đặc biệt là tuyệt vời.,i like the terminator films because the special effects are fantastic .
"Anh ta rất cao và gầy, với cánh tay và chân dài.","he was very tall and thin , with long arms and legs ."
Tom thắp nến trên bàn.,tom lit the candle that was on the table .
Thật khó để cảm thấy như ở nhà trong một ngôn ngữ nước ngoài.,it is difficult to feel at home in a foreign language .
Tôi có một số điều tôi muốn nói chuyện với bạn.,i have several things i would like to talk to you about .
Bánh đó có vẻ tốt.Cho tôi một mảnh nhỏ.,that cake looks good too . give me a small piece .
Có thể có một rò rỉ khí trong nhà của chúng tôi.,there might be a gas leak in our house .
Anh ấy đã làm hết sức mình để kịp thời cho tàu.,he did his best to be in time for the train .
Tôi có một ý tưởng sơ bộ những gì cần phải làm.,i have a rough idea what needs to be done .
Anh ấy chắc chắn sẽ ngửi thấy một con chuột nếu tôi ở bên bạn.,he will be sure to smell a rat if i am with you .
Đó là một trong những cuốn sách hay nhất tôi đã đọc trong nhiều năm.,it is one of the best books i have read in years .
Giọng cô khó có thể nghe thấy tiếng ồn.,her voice could hardly be heard over the noise .
"Bạn có thể nói dối với mọi người khác, nhưng bạn không thể nói dối chính mình.","you can lie to everyone else , but you cannot lie to yourself ."
"Mặc dù trời ngừng mưa, gió vẫn thổi mạnh.","though it stopped raining , the wind was still blowing hard ."
Tom đã đọc nhiều sách hơn tôi có.,tom has read a lot more books than i have .
"Nếu kế hoạch này không hoạt động, chúng tôi sẽ phải thử một cái gì đó khác.","if this plan does not work , we will have to try something else ."
Tôi phải đi bộ đó vì xe của tôi bị hỏng.,i had to walk there because my car broke down .
Có gấp đôi số ứng viên đại học như trong.,there were twice as many university applicants in as in .
Tom vô tình tự bắn vào chân mình trong khi làm sạch súng.,tom accidentally shot himself in the foot while cleaning his gun .
Tôi không thể không cảm thấy như tôi đã quên một cái gì đó.,i cannot help but feel like i have forgotten something .
Có ba người đàn ông ở phòng tiếp theo đang chờ bạn.,there are three men in the next room waiting for you .
Tôi không phải là điều đáng trách hơn bạn.,i am not any more to blame than you are .
Tôi không muốn bị hói khi tôi vẫn còn trẻ.,i do not want to go bald when i am still young .
Tôi muốn nói chuyện với bạn về những gì đã xảy ra ở trường ngày hôm qua.,i would like to talk to you about what happened at school yesterday .
"Nếu tôi là bạn, tôi sẽ không dựng lều của tôi ở đó.","if i were you , i would not pitch my tent there ."
"Tôi đã cố gắng cho cô ấy một số tiền, nhưng cô ấy sẽ không lấy bất kỳ.","i tried to give her some money , but she would not take any ."
"Vì tôi là tất cả một mình, tôi cảm thấy hơi cô đơn.","since i was all by myself , i felt a bit lonely ."
"Theo tờ giấy, có một trận động đất ở Peru.","according to the paper , there was an earthquake in peru ."
Tôi nghĩ rằng đã đến lúc tôi phải xem xét lại cách tôi đã sống.,i think it is time for me to reconsider how i have been living .
Chính phủ đang cố gắng đưa mọi thứ trở lại bình thường.,the government is trying to bring things back to normal .
Chúng tôi không có ý đó để nó xảy ra theo cách đó.,we did not mean for it to happen that way .
Cậu bé nhấc chiếc hộp nặng bằng một tay.,the boy lifted the heavy box with one hand .
Bạn sẽ ngủ khi cha bạn về nhà.,you will be asleep by the time your father gets home .
Có một lần tôi không thể tin tưởng người khác.,there was once a time when i could not trust others .
"Tôi có thể hiểu một vài câu đầu tiên, nhưng phần còn lại của bài phát biểu của anh ấy là tiếng Hy Lạp đối với tôi.","i could understand the first few sentences , but the rest of his speech was all greek to me ."
Tiêu thụ rượu cao hơn ở Đông Âu so với Tây Âu.,alcohol consumption is higher in eastern europe than in western europe .
Tất cả việc mua xung này sẽ khiến bạn phải chịu nợ.,all this impulse buying is going to leave you saddled with debt .
Tôi cần lặp lại nó bao nhiêu lần?,how many times do i need to repeat it ?
Cô ấy sẽ viết một cuốn sách khác một trong những ngày này.,she will write another book one of these days .
Có thực sự có thể thực hiện ghép não?,is it really possible to do a brain transplant ?
Bố mẹ tôi đã gửi tôi đến trại béo khi tôi mười ba tuổi.,my parents sent me to fat camp when i was thirteen .
Anh đến Hoa Kỳ khi còn là một cậu bé đến từ Scotland.,he came to the united states as a boy from scotland .
Một tấm đá nặng đã được hạ xuống trên ngôi mộ.,a heavy stone slab was lowered over the grave .
Tôi có thể đi bộ từ nhà đến nhà ga chỉ trong năm phút.,i can walk from my house to the station in only five minutes .
Bạn nên dự trữ nguồn cung cấp cần thiết trong trường hợp một trận động đất lớn.,you should stockpile necessary supplies in case of a big earthquake .
Bạn sẽ không thể dậy sớm như vậy.,you will not be able to get up so early .
Cô ấy bằng tuổi với chị gái tôi.,she is about the same age as my older sister .
Hãy để S lật qua các kênh để xem đó là trên TV.,let s flip through the channels to see that is on tv .
Ông trở thành chủ tịch công ty khi ông ba mươi.,he became the company president when he was thirty .
Mẹ tôi đã làm cho tôi những gì tôi có ngày hôm nay.,my mother has made me what i am today .
Không bị ru ngủ vào một cảm giác an toàn sai lầm.,do not be lulled into a false sense of security .
"Một lần trong đời, tôi muốn làm điều đúng đắn.","for once in my life , i want to do the right thing ."
Tôi yêu âm thanh của mưa trên mái nhà.,i love the sound of rain on the roof .
"Một cuốn sách hay là những người bạn tốt nhất, giống nhau ngày hôm nay và mãi mãi.","a good book is the best of friends , the same today and forever ."
"Nhân tiện, tôi phải nói với bạn điều gì đó.","by the way , i have got to tell you something ."
Anh trai của anh ấy đã là một tài xế xe tải trong ba mươi năm.,his brother had been a truck driver for thirty years .
Chúng tôi hy vọng rằng bạn sẽ có thể tham gia cùng chúng tôi tại hội thảo này.,we hope that you will be able to join us at this seminar .
Con gái tôi đã nhận được tất cả các cuộc hẹn hò đầu tiên.,my daughter s getting all gussied up for her first date .
"Có một cuốn sách trên ghế?có, có .","is there a book on the chair ? yes , there is ."
"Giả sử bạn có mười triệu yên, bạn sẽ làm gì?","suppose you had ten million yen , what would you do ?"
"Bất cứ điều gì xảy ra, tôi sẽ tuân thủ các nguyên tắc của mình vào đầu cay đắng.","whatever happens , i will stick to my principles to the bitter end ."
Anh ta tiếp tục chuyển trọng lượng của mình từ chân này sang chân khác.,he kept shifting his weight from one foot to the other .
"Người Nhật đã tấn công Trân Châu Cảng vào tháng 12,.","the japanese attacked pearl harbor on december , ."
Họ đã xây dựng đế chế của họ ở Peru khoảng năm trăm năm trước.,they built their empire in peru about five hundred years ago .
Tay cô ấy đang chăm sóc em bé đầy đủ.,her hands are full taking care of the baby .
Giáo viên của tôi cảnh báo tôi đừng làm điều đó một lần nữa.,my teacher warned me not to do it again .
"Các khách hàng đã cho anh ta những cái nhìn thoáng qua, sau đó trở lại với các cuộc trò chuyện của họ.","the customers gave him fleeting glances , then returned to their conversations ."
"Bạn thích loại chất khử mùi nào, phun hoặc lăn?","what kind of deodorant do you prefer , spray or roll on ?"
Bạn có thể cho tôi biết làm thế nào bạn phát hiện ra rằng Tom không ở trường hôm nay?,can you tell me how you found out that tom was not at school today ?
"Nhờ cuốn sách này, tôi đã học được một số sự thật thú vị về loài côn trùng này.","thanks to this book , i learned some interesting facts about this insect ."
Tôi rất vui khi thấy rằng bạn đang học tập chăm chỉ hơn trước đây.,i am glad to see that you are studying harder than you used to .
tôi hỏi bạn một câu hỏi . tôi không nghe thấy bạn .,i asked you a question . i did not hear you .
Bạn có thể vui lòng cho tôi biết nhà thờ gần nhất ở đâu?,could you please tell me where the nearest church is ?
Một độ phân giải thỏa hiệp được tưới nước tốt hơn so với không có gì cả.,a watered down compromise resolution is better than none at all .
Tôi tự hỏi nếu bạn có thể lấy cho tôi một loại bia khác.,i wonder if you could get me another beer .
Tôi hiểu rằng đây là một quyết định khó khăn cho bạn.,i understand that this is a difficult decision for you .
Không có một giây nào mà tôi không nghĩ về bạn.,there s not a second that goes by that i do not think about you .
Chúng tôi đã có rất nhiều khiếu nại về cách bạn đối xử với các bạn cùng lớp.,we have had a lot of complaints about how you treat your classmates .
"Khi mùa đông đến gần, những ngày ngày càng ngắn hơn.","as winter approaches , the days get shorter and shorter ."
