SRC	TRG
tom was able to convince mary to help . how did he do that ?	 tom a reussi a convaincre marie de l aider ? comment y est il parvenu ? 
if you could loan me some money , i would really appreciate it .	si tu pouvais me preter de l argent j apprecierais vraiment .
do not put that there . somebody might trip over it .	ne mets pas ca la . quelqu un pourrait trebucher dessus .
i just do not want your dog in my house .	je ne veux tout simplement pas de ton chien dans ma maison .
i went home in order to change my clothes .	je suis alle a la maison pour changer mes vetements .
i think we should not be doing this . no one asked you .	 je pense qu on ne devrait pas faire ca . personne ne t a demande ton avis . 
what tom likes most is whiskey on the rocks .	ce que tom aime le plus c est le whisky avec des glacons .
that is the most important part of a good education ?	quelle est la chose la plus importante pour faire une bonne education ?
i would like to talk to someone about what i saw .	j aimerais discuter avec quelqu un de ce que j ai vu .
fear of losing power corrupts those who wield it .	la peur de perdre le pouvoir corrompt ceux qui l exercent .
let s get a move on . we have got no time to lose .	depechons nous ! nous n avons pas de temps a perdre .
i had no idea that you were so good at french .	je ne savais pas que vous etiez si bon en francais .
the door was locked , so i could not open it .	la porte etait verrouillee donc je ne pouvais pas l ouvrir .
he is not the man that he was when i first knew him .	il n est plus le meme homme que lorsque je l ai connu pour la premiere fois .
where else are you going to find a guitar of this quality for such a reasonable price ?	ou d autre allez vous trouver une guitare de cette qualite pour un prix aussi raisonnable ?
last night my daughter did not come home until half past one .	la nuit derniere ma fille n est pas rentree a la maison avant une heure et demie .
this year , the winter is mild , is not it ? it is very nice .	cette annee l hiver est doux n est ce pas ? c est tres agreable .
i am very happy you will be visiting boston next month .	je suis tres content que vous veniez visiter boston ce mois prochain .
i worked on a farm when i was younger .	j ai travaille dans une ferme quand j etais plus jeune .
do not you think you are overreacting just a little bit ?	tu ne penses pas que tu exageres un petit peu ?
it is hard to tell you and your brother apart .	il est difficile de te distinguer de ton frere .
she lay on a sofa with her eyes closed .	elle etait allongee sur un sofa les yeux clos .
if you do not have this program , you can download it now .	si vous ne disposez pas de ce programme vous pouvez le telecharger maintenant .
a car that you never took out of the garage would be of no value to you .	une voiture que vous ne sortiriez jamais du garage ne vous serait d aucune valeur .
stores are closed in the afternoon because of the heat .	on ferme les magasins l apres midi a cause de la chaleur .
how many pennies does it take to make one pound ?	combien de cents faut il pour faire une livre sterling ?
compared to you , i am just a beginner at this game .	compare a vous je ne suis qu un debutant a ce jeu .
i am not going to the library , but i can take you as far as the station .	je ne vais pas a la bibliotheque mais je peux vous emmener jusqu a la gare .
it requires a certain amount of practice to be able to walk on stilts .	il faut une certaine pratique pour parvenir a marcher avec des echasses .
i do not mind lending you the money provided you pay it back within a month .	cela m est egal de vous preter de l argent pourvu que vous me le rendiez avant la fin du mois .
he could not attend the meeting because he was sick .	il n a pu aller a la reunion parce qu il etait malade .
he has almost no money , but he gets by .	il n a presque pas d argent mais il se debrouille .
we could have our tea in the garden , were it a little warmer .	s il avait fait un peu plus chaud nous aurions pu prendre un the au jardin .
i slept late and i missed the first train .	je me suis leve tard et j ai rate le premier train .
it is gotten dark . please turn on the light for me .	ca s est obscurci . merci d allumer la lumiere pour moi .
a person with a bmi of to is considered overweight .	une personne dont l indice de masse corporelle se situe entre vingt cinq et vingt neuf est consideree en surpoids .
i am still waiting for tom to pay me back the money i lent him .	j attends toujours que tom me rembourse l argent que je lui ai prete .
i have nothing in particular to say about this problem .	je n ai rien de particulier a dire quant a ce probleme .
i think i will take a vacation this week .	je pense que je prendrai des vacances cette semaine .
there are many jobs available in the computer industry .	il y a de nombreux emplois disponibles dans le secteur informatique .
i think it would be better if you did not do that .	je pense que ce serait mieux que tu ne fasses pas cela .
my friend ended up taking the rap for a crime he did not commit .	mon ami a fini par ecoper d une peine pour un crime qu il n a pas commis .
i do not like the way he speaks to me .	je n aime pas la facon dont il me parle .
our store is open every day of the year except christmas and new year s .	notre magasin est ouvert tous les jours de l annee sauf noel et le jour de l an .
you can see the colors of the spectrum in a rainbow .	on peut voir les couleurs du spectre dans un arc en ciel .
she will not budge an inch no matter what anyone says .	elle ne cedera pas d un pouce quoi qu on lui dise .
when do you get up ? i get up at eight .	 a quelle heure vous levez vous ? a heures . 
she saved her baby s life at the risk of losing her own .	elle sauva la vie de son bebe au risque de perdre la sienne .
there is plenty of space in the loft for storage .	il y a beaucoup d espace dans les combles pour stocker .
i just want to know how far we are going .	je veux juste savoir a quelle distance nous allons .
at the moment you are in no condition to drive .	tu n es pour l instant pas en etat de conduire .
tom said that he was really glad mary moved to boston .	tom a dit qu il etait vraiment heureux que mary demenage a boston .
i did not know whether i would be permitted to do that or not .	je ne savais pas si j aurais la permission de le faire ou pas .
he has been suffering from a bad cold . she is very anxious about his health .	il est salement enrhume . elle se fait beaucoup de soucis quant a sa sante .
he was honest , strong , and willing to make decisions .	il etait honnete fort et pret a prendre des decisions .
quite a few people could not recognize him in that disguise .	beaucoup de gens ne pouvaient pas le reconnaitre sous ce deguisement .
the monthly staff meeting is never held on monday .	la reunion mensuelle du personnel n est jamais tenue les lundis .
finally , i made up my mind and bought the new video game .	finalement je me suis decide et j ai achete ce nouveau jeu video .
they renewed their vows on their th wedding anniversary .	ils renouvelerent leurs v ux a l occasion de leur vingt cinquieme anniversaire de mariage .
i used a computer in order to save time .	je me suis servi d un ordinateur pour gagner du temps .
my dad loses his keys at least once a week .	mon pere perd ses cles au moins une fois par semaine .
can you get it done before the end of the week ?	pouvez vous le faire avant la fin de la semaine ?
tom wanted mary to bring him a cup of coffee .	tom voulait que marie lui apporte une tasse de cafe .
do you want me to tell tom that we will not do that ?	veux tu que je dise a tom que nous ne le ferons pas ?
she spends a major part of her income on food .	elle depense la majeure partie de son salaire en nourriture .
i do not get the meaning of all of this .	je ne comprends pas le sens de tout ca .
in the first place , we must be careful about what we eat and drink .	en premier lieu nous devons faire attention a ce que nous mangeons et buvons .
this book is way more interesting than that one .	ce livre ci est de loin plus interessant que celui la .
a few minutes walk brought him to the zoo .	il fut au zoo en deux ou trois minutes de marche .
we are not exactly friends , but we are not exactly enemies either .	nous ne sommes pas exactement amis mais nous ne sommes pas exactement ennemis non plus .
one sniff of that stuff was enough to make me sick .	une simple bouffee de ce truc suffisait a me rendre malade .
this flower is the most beautiful of all flowers .	cette fleur est la plus belle de toutes les fleurs .
you will never know whether you can do it or not if you do not try .	vous ne saurez jamais si vous pouvez reussir ou pas si vous n essayez pas .
i do not know who else to turn to for help .	je ne sais plus vers qui me tourner pour avoir de l aide .
do not you think it is rude to give people such a curt reply like that ?	tu ne trouves pas que c est malpoli de repondre aussi sechement aux gens ?
i want to know what you do for a living .	je veux savoir ce que tu fais pour vivre .
oh , i am sorry . i guess i have the wrong number .	oh je suis desole . j imagine que j ai fait un mauvais numero .
tom promised me he would be here by .	tom m a promis d etre la avant deux heures et demie .
i cannot tell you his name , but i can tell you where he lives .	je ne peux pas vous dire son nom mais je peux vous dire ou il vit .
would you like to get something to eat ? it is on me .	voudriez vous avoir quelque chose a manger ? c est pour moi .
are you aware you are being named in a lawsuit against the federal government ?	etes vous au courant que votre nom a ete prononce lors d un proces contre le gouvernement federal ?
in , britain gave grenada autonomy over its internal affairs .	en la grande bretagne a accorde l autonomie a la grenade en matiere de politique interieure .
i have to write a letter . do you have some paper ?	il faut que j ecrive une lettre . est ce que tu as du papier ?
she told me that she wanted a pet dog .	elle me dit qu elle voulait un chien de compagnie .
it is better to attack than to let oneself be attacked .	il vaut mieux attaquer que de se laisser attaquer .
the hospital food was not as bad as i expected it to be .	la nourriture de l hopital n etait pas aussi mauvaise que ce a quoi je m attendais .
who was your favorite teacher when you were in high school ?	qui etait ton enseignant prefere quand tu etais au lycee ?
i suppose it makes sense to go ahead and pay the bill right now .	je suppose qu il est sense de proceder et de payer la facture maintenant .
although i have studied english at school for the past six years , i am still not good at speaking it .	bien qu ayant etudie l anglais a l ecole ces six dernieres annees je ne le parle toujours pas bien .
he is not much better , and there is a little hope of recovery .	il ne va pas mieux et il y a peu de chance de guerison .
i cannot tell you what a disappointment it was that tom did not win the race .	je ne peux pas vous dire quelle desillusion cela a ete que tom n ait pas gagne la course .
tom told me why he was not able to do that .	tom m a dit pourquoi il n a pas pu faire ca .
i left my keys on the table . could you bring them to me ?	j ai laisse mes cles sur la table . veux tu bien me les apporter ?
i just want to make enough money to feed my family .	je veux seulement faire assez d argent pour nourrir ma famille .
i do not think i have ever eaten anything that you would consider disgusting .	je ne pense pas jamais avoir mange quoi que ce fut que tu considererais degoutant .
you have no idea who that is , do you ?	tu n as aucune idee de qui c est n est ce pas ?
my only worry is that i have no worries .	mon seul souci c est que je n ai pas de soucis .
he sat on the sofa with his arms folded .	il etait assis sur le sofa avec les bras croises .
my weight has not changed in the last three years .	mon poids n a pas change durant les trois dernieres annees .
once upon a time , there lived a poor man and a rich woman .	il etait une fois un pauvre homme et une femme riche .
is that your first name or your last name ?	c est votre prenom ou votre nom de famille ?
a boy like tom does not deserve a girl like mary .	un garcon comme tom ne merite pas une fille comme mary .
it is too bad you cannot stay a little longer .	c est dommage que tu ne puisses pas rester un peu plus longtemps .
perseverance , as you know , is the key to success .	la perseverance comme vous le savez est la cle du succes .
there s been a significant development in the case of the missing toddler .	il y a eu une evolution significative dans l affaire du bambin disparu .
he is not aggressive enough to succeed in business .	il n est pas suffisamment agressif pour reussir dans les affaires .
i can only stay with you for just a few days .	je ne peux rester avec vous que quelques jours .
i would rather stay home if it is all the same to you .	j aimerais autant rester a la maison si ca ne te fait rien .
i want to go back to doing what i was doing before you interrupted me .	je veux me remettre a faire ce que je faisais avant que tu m interrompes .
the heavy fog made it impossible for us to see anything in front of us .	en raison d un epais brouillard il nous etait impossible de voir devant nous .
my heart skipped a beat when my wife told me she was pregnant .	mon c ur a sursaute lorsque ma femme m a dit qu elle etait enceinte .
i have so many clothes i do not know what to wear tomorrow .	j ai tellement de vetements que je ne sais pas quoi mettre demain .
for once in my life , i want to do the right thing .	pour une fois dans ma vie je veux faire le bon choix .
i was moved by her love for other people .	je fus emu par son amour pour les autres .
why are you up at this time of night ?	pourquoi es tu debout a cette heure de la nuit ?
none of us want to go , but either you or your wife has to go .	personne d entre nous ne voudrait partir mais soit vous soit votre femme doit partir .
is there any chance of my borrowing your typewriter ?	y a t il une possibilite que je puisse emprunter la machine a ecrire ?
my wife did not attend the party and neither did i .	ma femme n est pas venue a la fete et moi non plus .
i remember the event as vividly as if it were just yesterday .	je me rappelle l evenement de maniere aussi saisissante que si c etait hier .
for the time being , my sister is an assistant in a supermarket .	pour le moment ma s ur est vendeuse dans un supermarche .
nobody will say it so bluntly , but that is the gist of it .	personne ne le dira aussi brutalement mais c en est l essentiel .
for the first time in more than years , the unemployment rate is below .	pour la premiere fois en plus de six ans le taux de chomage est inferieur a six pourcents .
they say amniotic fluid has roughly the same composition as sea water .	on dit que le liquide amniotique est a peu pres de la meme composition que l eau de mer .
may i call on you at your house tomorrow morning ?	puis je te rendre visite a ton domicile demain matin ?
he was dazed by a blow to the head .	il fut etourdi par un coup sur la tete .
if you had not eaten so much , you would not be so sleepy now .	si tu n avais pas tant mange tu ne serais pas maintenant si endormi .
tom has been living in boston since he graduated from college .	tom vit a boston depuis qu il est diplome de l universite .
you were the one who suggested i visit tom .	c est toi qui m as suggere de rendre visite a tom .
do not let his snide remarks get the best of you .	ne laisse pas ses remarques sarcastiques prendre le dessus sur toi .
she feeds her dog the same thing that she eats .	elle nourrit son chien avec ce qu elle mange elle meme .
i always have a couple of beach towels in my car .	j ai toujours une paire de serviettes de plage dans ma voiture .
she put her hands over her ears to shut out the noise .	elle a mis ses mains sur ses oreilles pour ne plus entendre le bruit .
it is clear that there s a rather strong disagreement between the two .	c est clair qu il y a un desaccord assez fort entre les deux .
she shook the rug to get dust out of it .	elle a secoue le tapis pour en faire sortir la poussiere .
tom and mary do not seem to really talk to each other all that much .	on ne dirait pas que tom et mary se parlent tant que ca .
i caught my son making prank calls to random phone numbers .	j ai surpris mon fils en train de faire des farces telephoniques a des numeros au hasard .
if my brother had not helped me , i would have drowned .	mon frere ne m eut il pas aide je me serais noye .
i had a headache , and i took the day off today .	j avais mal a la tete et j ai pris un jour de conge aujourd hui .
the horse is very docile and is ideal for beginner riders .	le cheval est tres docile et est ideal pour les cavaliers debutants .
you cannot just leave your car parked in front of the fire hydrant .	vous ne pouvez pas simplement laisser votre voiture devant la bouche d incendie .
the date of the festival coincides with that of the exam .	le jour du festival coincide avec celui de l examen .
he asked me whether she had given me the book , or if i had bought it myself .	il m a demande si elle m avait donne le livre ou si je l avais achete moi meme .
investigators are trying to pin down the cause of today s fire .	les enqueteurs essaient de determiner la cause de l incendie d aujourd hui .
you will have to take his place in case he cannot come .	tu devras prendre sa place au cas ou il ne puisse venir .
how do i know that you are telling the truth ?	comment je peux savoir si tu dis la verite ?
what are some foods you usually eat with chopsticks ?	quels sont les aliments qu on mange habituellement avec des baguettes ?
they argue a lot , but for the most part they get along quite well together .	ils se disputent beaucoup mais pour l essentiel ils s entendent assez bien .
it was careless of him to make such a mistake .	c etait negligent de sa part de faire une telle erreur .
i did not know why i would been chosen to do that .	je ne savais pas pourquoi j avais ete choisi pour faire ca .
he wanted to see a bullfight , but his father would not let him go .	il voulut voir une corrida mais son pere ne lui permit pas d y aller .
do not you think this hat looks good on me ?	ne penses tu pas que ce chapeau me va bien ?
i think it is time for me to turn on the radio .	je pense qu il est temps que j allume la radio .
i felt sorry for her when i heard her story .	je me suis senti desole pour elle lorsque j ai entendu son histoire .
you should obey the traffic laws when you drive .	tu devrais respecter le code de la route quand tu conduis .
why did you lend money to someone like him ?	pourquoi as tu prete de l argent a quelqu un comme lui ?
he does not even know how to sign his name .	il ne sait meme pas comment signer de son nom .
she has lived alone ever since her husband died .	elle vit seule depuis que son mari est decede .
i ate a large pizza with a friend an hour ago .	j ai mange une grande pizza avec un ami il y a une heure .
doctors have made great strides in their fight against cancer .	les medecins ont fait de grandes avancees dans leur lutte contre le cancer .
i cannot finish the job in such a short time .	je ne peux pas terminer le travail en un temps aussi court .
there is no feeling in my toes at all .	je n ai pas la moindre sensation dans mes orteils .
there are a lot of dogs here , are not there ?	il y a beaucoup de chiens ici n est ce pas ?
we cannot add days to our life , but we can add life to our days .	nous ne pouvons ajouter de jours a nos vies mais nous pouvons ajouter de la vie a nos jours .
what language do you usually use when talking with tom ?	tu parles en quelle langue avec tom d habitude ?
do you know which deity this temple is dedicated to ?	savez vous a quelle divinite ce temple est dedie ?
the door swung open and tom walked into the room .	la porte s ouvrit et tom entra dans la piece .
she will be glad if you go to see her in person .	elle appreciera que tu ailles la voir en personne .
she was asked to convince him to get his son or someone else to paint the house .	on lui demanda de le convaincre de faire peindre la maison par son fils ou quelqu un d autre .
we stayed in a quaint bed and breakfast by the sea .	nous avons sejourne dans une chambre d hotes pittoresque au bord de la mer .
he devoted all his time to the study of history .	il a consacre tout son temps a l etude de l histoire .
tom wanted mary to tell him about her childhood .	tom voulait que marie lui parle de son enfance .
tom was planning to go to boston the day after christmas .	tom avait prevu d aller a boston le lendemain de noel .
if you are going to start a new business , you need a business plan .	si tu vas lancer une nouvelle affaire tu as besoin d un plan d affaire .
a good yoga session can limber you up like nothing else .	une bonne seance de yoga peut t assouplir comme rien d autre .
where is the boarding gate for japan airlines ?	ou est la porte d embarquement pour le japan airlines ?
tom found out later that the woman he met in the park was mary .	tom a su plus tard que la femme qu il avait rencontree dans le parc etait mary .
i can watch tv all day without getting bored .	je peux regarder la tele toute la journee sans m ennuyer .
i thought tom had enough money to live on .	je pensais que tom aurait assez d argent pour en vivre .
do not forget to brush your teeth before going to bed .	n oublie pas de te brosser les dents avant d aller au lit .
you were dying , but the doctor saved your life .	vous etiez en train de mourir mais le medecin vous a sauve la vie .
could you show me how to use a snorkel ?	tu peux me montrer comment on se sert d un tuba ?
while we were on holiday , a neighbor took care of our cat .	pendant que nous etions en vacances un voisin s est occupe de notre chat .
the only thing that matters is that you were not injured .	la seule chose qui compte est que tu n as pas ete blesse .
sir , we need to stabilize your fracture before transferring you to the stretcher .	monsieur nous devons stabiliser votre fracture avant de vous transferer sur le brancard .
how many times a week do you do that ?	tu fais ca combien de fois par semaine ?
because his parents had died when he was young , his uncle brought him up .	comme ses parents sont morts quand il etait jeune c est son oncle qui l a eleve .
the bridge between denmark and sweden is almost five miles long .	le pont entre le danemark et la suede fait presque milles de longueur .
tom wears a kilt when he plays the bagpipes .	tom porte un kilt quand il joue de la cornemuse .
i never stay anywhere long enough to make friends .	je ne reste jamais ou que ce soit assez longtemps pour me faire des amis .
logic is the beginning of wisdom , not the end .	la logique est le commencement de la sagesse pas sa fin .
dr . skeleton is known for his study on ghosts .	le docteur skeleton est connu pour son etude sur les fantomes .
all that you have to do is to follow his advice .	tout ce que vous avez a faire est de suivre son avis .
we are going to my folks for christmas this year .	nous allons chez mes parents pour noel cette annee .
the government made no move to solve the housing problem .	le gouvernement n a rien fait pour resoudre le probleme de logement .
it is essential that every child have the same educational opportunities .	il est essentiel que chaque enfant ait les memes opportunites d education .
let s go to an all you can eat place and have a big dinner .	allons dans un buffet a volonte et nous faire un gros festin .
i will never forget the day when i first met him .	je n oublierai jamais le jour ou je l ai rencontre pour la premiere fois .
to have more than one problem before him at one time makes him irritable , upset and exasperated .	avoir devant lui plus d un probleme a la fois le rend irritable contrarie et exaspere .
she is very shy and feels ill at ease at parties .	elle est tres timide et se sent mal a l aise dans les fetes .
the higher he rose in social rank , the more modest he became .	il est devenu de plus en plus humble alors qu il montait l echelle sociale .
i will let you know if i find anything interesting .	je te ferai savoir si je trouve quoi que ce soit d interessant .
computers are capable of doing very complicated work in a split second .	les ordinateurs peuvent faire un travail tres complique en une fraction de seconde .
tom is in pretty good shape for his age .	tom est plutot en bonne forme pour son age .
you need to have exact change to pay the toll of the expressway .	il vous faut la monnaie exacte pour payer le peage de l autoroute .
tom attempted to persuade mary to go to church with him .	tom a tente de persuader mary d aller a l eglise avec lui .
she asked me whether she could use the telephone .	elle m a demande si elle pouvait utiliser le telephone .
just tell me the truth . i promise i will not get mad .	dis moi juste la verite . je promets de ne pas me mettre en colere .
they fine you in singapore if you throw trash in the streets .	a singapour ils vous mettent une amende si vous jetez des ordures dans la rue .
he claimed that the enormous property was at his disposal .	il soutenait que cette immense propriete etait a sa disposition .
why do i get the feeling i am not going to like this ?	pourquoi ai je le sentiment que je ne vais pas aimer ca ?
i asked him not to play the piano late at night .	je lui ai demande de ne pas jouer du piano trop tard la nuit .
the bank reassured us that our money was safe .	la banque nous a assure que notre argent etait en securite .
having done my homework , i could finally watch television .	une fois mes devoirs termines j ai enfin pu regarder la television .
i guess it is too late to do that now .	j imagine qu il est trop tard pour faire cela maintenant .
it took me three hours to write the letter .	cela m a pris trois heures pour ecrire cette lettre .
you look like you do not want to be here .	on dirait que tu n as pas envie de te trouver la .
how many times a year do you go to the dentist ?	combien de fois par an allez vous chez le dentiste ?
the more guests there are , the more difficult it is to keep a surprise party secret .	plus il y a d invites plus il est difficile de garder secrete une fete surprise .
i think it is time for me to join the fight .	je pense qu il est temps pour moi de me joindre a la lutte .
she raised her hand for the bus to stop .	elle leva la main pour que le bus s arrete .
i was offered the choice of tea or coffee .	on m a propose le choix entre un the et un cafe .
do you think the rainy season will set in early this year ?	pensez vous que la saison des pluies sera en avance cette annee ?
do you have pictures of your kids with you ?	as tu des photos de tes enfants avec toi ?
i am not used to doing that in the dark .	je ne suis pas habitue a faire ca dans le noir .
tom turned off the engine and shut off the headlights .	tom a eteint le moteur et coupe les phares .
i do not want to respect a man like him .	je ne veux pas respecter un homme comme lui .
the sound of a gunshot echoed across the canyon .	le son d une detonation resonna a travers la gorge .
she is not old enough to get a driver s license .	elle n est pas assez agee pour obtenir le permis de conduire .
he does not know what it is to be poor .	il ne sait pas ce que c est que d etre pauvre .
i know it is not what you were hoping for , but here s all the money i can give you .	je sais que ce n est pas ce que tu esperais mais c est tout l argent que je peux te donner .
how long have you been living on this island ?	depuis combien de temps vis tu sur cette ile ?
do you think what she said is a lie ?	pensez vous que ce qu elle a dit soit un mensonge ?
i do not need your money . i just need your time .	je n ai pas besoin de ton argent . j ai besoin de ton temps .
can you tell me anything about that is going to happen here today ?	peux tu me dire quelque chose a propos de ce qu il va se passer ici aujourd hui ?
it is odd that there should be a light on in the office at this hour .	il est etrange de voir les lumieres du bureau allumees a cette heure .
certain details of the crime were not made public .	certains details du crime n ont pas ete rendus publics .
nothing is more disappointing than to lose in the finals .	rien n est plus decevant que de perdre en finale .
there are no hospitals in the vicinity of his house .	il n y a pas d hopital a proximite de sa maison .
frankly speaking , i do not think you have what it takes to become a teacher .	franchement je ne pense pas que tu aies ce qu il faut pour devenir enseignant .
would you be willing to write a letter for me ?	seriez vous pret a ecrire une lettre pour moi ?
i am in agreement with most of what he says .	je suis d accord avec la majeure partie de ce qu il dit .
he is going to buy a new bicycle next week .	il va acheter un nouveau velo la semaine prochaine .
